"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|FR","Actual Total Load [MW] - BZN|FR"
"19.02.2019 00:00 - 19.02.2019 01:00","64150","61461"
"19.02.2019 01:00 - 19.02.2019 02:00","61250","59204"
"19.02.2019 02:00 - 19.02.2019 03:00","60400","57966"
"19.02.2019 03:00 - 19.02.2019 04:00","57400","55589"
"19.02.2019 04:00 - 19.02.2019 05:00","56100","55072"
"19.02.2019 05:00 - 19.02.2019 06:00","57850","57896"
"19.02.2019 06:00 - 19.02.2019 07:00","62500","63325"
"19.02.2019 07:00 - 19.02.2019 08:00","68450","68519"
"19.02.2019 08:00 - 19.02.2019 09:00","71100","70573"
"19.02.2019 09:00 - 19.02.2019 10:00","71350","71182"
"19.02.2019 10:00 - 19.02.2019 11:00","70850","70628"
"19.02.2019 11:00 - 19.02.2019 12:00","70150","70200"
"19.02.2019 12:00 - 19.02.2019 13:00","69500","69444"
"19.02.2019 13:00 - 19.02.2019 14:00","69000","67275"
"19.02.2019 14:00 - 19.02.2019 15:00","67150","-"
"19.02.2019 15:00 - 19.02.2019 16:00","64100","-"
"19.02.2019 16:00 - 19.02.2019 17:00","62500","-"
"19.02.2019 17:00 - 19.02.2019 18:00","62550","-"
"19.02.2019 18:00 - 19.02.2019 19:00","66850","-"
"19.02.2019 19:00 - 19.02.2019 20:00","72100","-"
"19.02.2019 20:00 - 19.02.2019 21:00","68750","-"
"19.02.2019 21:00 - 19.02.2019 22:00","64650","-"
"19.02.2019 22:00 - 19.02.2019 23:00","62950","-"
"19.02.2019 23:00 - 20.02.2019 00:00","66400","-"
