"Week","Min Total Load [MW] - BZN|FR","Max Total Load [MW] - BZN|FR"
"Week 1","58156","82868"
"Week 2","58759","83300"
"Week 3","58173","82696"
"Week 4","57937","81290"
"Week 5","58073","81051"
"Week 6","57004","80337"
"Week 7","55074","77736"
"Week 8","54338","75762"
"Week 9","51975","74836"
"Week 10","50894","73325"
"Week 11","49051","71161"
"Week 12","46942","69207"
"Week 13","45369","66476"
"Week 14","43415","66819"
"Week 15","41251","63200"
"Week 16","38373","59950"
"Week 17","36188","57167"
"Week 18","35814","55264"
"Week 19","35015","55042"
"Week 20","33640","54364"
"Week 21","32281","54542"
"Week 22","32810","54761"
"Week 23","31663","54467"
"Week 24","31877","54680"
"Week 25","31895","55128"
"Week 26","32061","55359"
"Week 27","32416","55891"
"Week 28","33010","56132"
"Week 29","32975","56233"
"Week 30","32443","55709"
"Week 31","31444","53231"
"Week 32","30769","49730"
"Week 33","31616","49146"
"Week 34","31923","51778"
"Week 35","32222","54318"
"Week 36","32656","54613"
"Week 37","32829","54061"
"Week 38","32757","54686"
"Week 39","33353","54522"
"Week 40","34169","55342"
"Week 41","35922","57117"
"Week 42","37533","59444"
"Week 43","39748","61538"
"Week 44","42529","64726"
"Week 45","45525","69218"
"Week 46","46240","71898"
"Week 47","50482","74443"
"Week 48","53726","77072"
"Week 49","54642","78441"
"Week 50","56620","80349"
"Week 51","57297","80408"
"Week 52","56251","75583"
